name|accuracy|params|hardware_req|tags|id
NFNet-F2|85.1|193800000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
ResNeXt-101 32x32d|85.1|466000000.0|null|['ResNeXt']|1805.00932v1
DiscreteViT|85.07|null|null|['Transformer', 'ImageNet-1k only']|2111.10493v2
EfficientNetV2-S (21k)|85.0|null|null|['ImageNet-22k', 'EfficientNet']|2104.00298v3
ViT-M@224 (cosub)|85.0|null|null|['ImageNet-22k']|2212.04884v1
ViC-MAE (ViT-L)|85.0|null|null|[']']|2303.12001v2
FixEfficientNet-B3|85.0|12000000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.08237v5
CAFormer-S18 (384 res)|85.0|26000000.0|null|['ImageNet-1k only']|2210.13452v3
ConvFormer-S18 (384 res, 21K)|85.0|27000000.0|null|['ImageNet-22k']|2210.13452v3
EfficientNet-B7 (RandAugment)|85.0|66000000.0|null|['ImageNet-1k only', 'EfficientNet']|1909.13719v2
ViT-B @384 (DeiT III)|85.0|87000000.0|null|['ImageNet-1k only']|2204.07118v1
MaxViT-B (224res)|84.95|null|null|[']']|2204.01697v4
CaiT-S24|84.91|null|null|[']']|2308.09372v1
ViT-L @224 (DeiT III)|84.9|null|null|['ImageNet-1k only']|2204.07118v1
Our SP-ViT-M|84.9|null|null|[']']|2206.07662v1
DAT-B++ (224x224)|84.9|null|null|[']']|2309.01430v1
CvT-21 (384 res, ImageNet-22k pretrain)|84.9|32000000.0|null|['ImageNet-22k', 'Transformer']|2103.15808v1
InternImage-B|84.9|97000000.0|null|[']']|2211.05778v4
TinyViT-21M-distill (21k)|84.8|21000000.0|null|['ImageNet-22k', 'Transformer']|2207.10666v1
Wave-ViT-B|84.8|33500000.0|null|[']']|2207.04978v1
CAIT-XS-36|84.8|38600000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
SReT-B (384 res, ImageNet-1K only)|84.8|71200000.0|null|['ImageNet-1k only', 'Transformer']|2111.05297v3
MViT-B-24|84.8|72900000.0|null|['Transformer', 'ImageNet-1k only']|2104.11227v1
ActiveMLP-L|84.8|76400000.0|null|[']']|2203.06108v2
NoisyViT-B (384res, ImageNet-21k pretrain)|84.8|86000000.0|null|[']']|2309.10625v3
DAT-B (384 res, IN-1K only)|84.8|88000000.0|null|['Transformer']|2201.00520v3
MIRL(ViT-S-54)|84.8|96000000.0|null|['Transformer', 'ImageNet-1k only']|Null
ConvFormer-B36 (224 res)|84.8|100000000.0|null|['ImageNet-1k only']|2210.13452v3
ResNeXt-101 32x16d (semi-weakly sup.)|84.8|193000000.0|null|['IG-1B', 'ResNeXt']|1905.00546v1
ELSA-VOLO-D1|84.7|27000000.0|null|['ImageNet-1k only']|2112.12786v1
TransNeXt-Small (IN-1K supervised, 224)|84.7|49700000.0|null|['Transformer', 'ImageNet-1k only']|2311.17132v1
Next-ViT-L @384|84.7|57800000.0|null|[']']|2207.05501v4
BoTNet T7|84.7|75100000.0|null|['ImageNet-1k only', 'Transformer']|2101.11605v2
MogaNet-L|84.7|83000000.0|null|['CNN']|2211.03295v3
"LITv2-B|384"|84.7|87000000.0|null|[']']|2205.13213v5
NFNet-F1|84.7|132600000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
DAT-S++|84.6|null|null|[']']|2309.01430v1
Sequencer2D-L\u2191392|84.6|54000000.0|null|[']']|Null
SE-CoTNetD-152|84.6|55800000.0|null|[']']|2107.12292v1
AMD(ViT-B/16)|84.6|87000000.0|null|['Vision Transformer', 'ImageNet-1k only']|Null
DaViT-B|84.6|87900000.0|null|['ImageNet-1k only', 'Transformer']|2204.03645v1
ReXNet-R_3.0|84.5|34800000.0|null|[']']|2007.00992v3
CAFormer-S36 (224 res)|84.5|39000000.0|null|['ImageNet-1k only']|2210.13452v3
ConvFormer-M36 (224 res)|84.5|57000000.0|null|['ImageNet-1k only']|2210.13452v3
GC ViT-B|84.5|90000000.0|null|[']']|2206.09959v5
ResNeSt-269|84.5|111000000.0|null|['CNN', 'ImageNet-1k only']|2004.08955v2
MaxViT-S (224res)|84.45|null|null|[']']|2204.01697v4
GPIPE|84.4|null|null|['ImageNet-1k only']|1811.06965v5
ConvFormer-S18 (384 res)|84.4|27000000.0|null|['ImageNet-1k only']|2210.13452v3
EfficientNet-B7|84.4|66000000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
DiNAT-Base|84.4|90000000.0|null|['Neighborhood Attention', 'NAT Transformer', 'Transformer', 'ImageNet-1k only']|2209.15001v3
ResNet-RS-50 (160 image res)|84.4|192000000.0|null|['ImageNet-1k only', 'ResNet']|2103.07579v1
ColorNet (RHYLH with Conv Layer)|84.32|null|null|[']']|1902.00267v1
